Model,Colour,Memory,RAM,Battery,Rear_Camera,Front_Camera,AI_Lens,Mobile_Height,Processor,Prize
Infinix SMART 7,Night Black,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299.0
Infinix SMART 7,Azure Blue,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299.0
MOTOROLA G32,Mineral Gray,128,8,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,11999.0
POCO C50,Royal Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,5649.0
Infinix HOT 30i,Marigold,128,8,5000,50MP,5MP,1,16.76,G37,8999.0
Infinix HOT 30i,Glacier Blue,128,8,5000,50MP,5MP,1,16.76,G37,8999.0
Infinix HOT 30i,Mirror Black,128,8,5000,50MP,5MP,1,16.76,G37,8999.0
Infinix HOT 30i,Diamond White,128,8,5000,50MP,5MP,1,16.76,G37,8999.0
Infinix HOT 30i,Diamond White,64,4,5000,50MP,5MP,1,16.76,G37,7999.0
Infinix HOT 30i,Mirror Black,64,4,5000,50MP,5MP,1,16.76,G37,7999.0
REDMI 10,Shadow Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499.0
Infinix HOT 30i,Glacier Blue,64,4,5000,50MP,5MP,1,16.76,G37,7999.0
Infinix SMART 7,Emerald Green,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299.0
SAMSUNG Galaxy F13,Waterfall Blue,128,4,6000,50MP,8MP,0,16.76,Exynos 850,10699.0
SAMSUNG Galaxy F04,Opal Green,64,4,5000,13MP,5MP,0,16.51,Mediatek Helio P35,7299.0
POCO C51,Royal Blue,64,4,5000,8MP,5MP,0,16.56,Helio G36,6999.0
Infinix HOT 30i,Marigold,64,4,5000,50MP,5MP,1,16.76,G37,7999.0
POCO C51,Power Black,64,4,5000,8MP,5MP,0,16.56,Helio G36,6999.0
POCO C50,Country Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,5649.0
MOTOROLA e13,Cosmic Black,64,4,5000,13MP,5MP,0,16.51,Unisoc T606,7299.0
vivo T2x 5G,Aurora Gold,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999.0
vivo T2x 5G,Marine Blue,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999.0
vivo T2x 5G,Glimmer Black,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999.0
vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999.0
vivo T2x 5G,Glimmer Black,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,12999.0
vivo T2x 5G,Glimmer Black,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999.0
vivo T2x 5G,Marine Blue,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,12999.0
vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999.0
Infinix Smart 7 HD,Green Apple,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,6199.0
REDMI A1+,Black,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599.0
REDMI A1+,Light Blue,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599.0
POCO C55,Power Black,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749.0
REDMI A1+,Light Green,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599.0
POCO C55,Cool Blue,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749.0
POCO C55,Forest Green,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749.0
POCO C55,Cool Blue,128,6,5000,50MP,5MP,0,17.04,Mediatek Helio G85,8999.0
SAMSUNG Galaxy F13,Nightsky Green,64,4,6000,50MP,8MP,0,16.76,Exynos 850,9699.0
SAMSUNG Galaxy F13,Nightsky Green,128,4,6000,50MP,8MP,0,16.76,Exynos 850,10699.0
MOTOROLA g13,Matte Charcoal,128,4,5000,50MP,8MP,0,16.51,Helio G85,9999.0
POCO M4 5G,Cool Blue,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,11999.0
MOTOROLA e32,Eco Black,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,7999.0
REDMI 10,Caribbean Green,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,10999.0
